date,start_time,end_time,activity,location
3/18/2019,10:10,10:30,research,office_grad
3/18/2019,11:00,12:15,schoolwork,ETB4
3/18/2019,12:30,12:50,eating,ETB3
3/18/2019,13:10,14:35,schoolwork,ETB4
3/18/2019,14:50,19:15,schoolwork,ETB4
3/18/2019,19:23,19:30,walking,null
3/18/2019,19:33,19:50,driving,null
3/19/2019,8:57,9:05,driving,null
3/19/2019,9:07,9:18,walking,null
3/19/2019,12:39,12:41,walking,null
3/19/2019,12:45,14:00,class,ZACH1
3/19/2019,14:20,15:35,class,STAT
3/19/2019,16:25,17:10,meeting,ETB2
3/19/2019,17:35,17:52,walking,null
3/19/2019,17:54,18:15,driving,null
3/20/2019,8:52,9:00,driving,null
3/20/2019,9:02,9:14,walking,null
3/20/2019,9:20,12:20,research,office_grad
3/20/2019,13:45,16:15,research,office_grad
3/20/2019,16:17,16:30,walking,null
3/20/2019,16:32,16:38,driving,null
3/21/2019,8:07,8:15,driving,null
3/21/2019,8:17,8:25,walking,null
3/21/2019,8:30,11:30,research,office_grad
3/21/2019,11:35,12:30,meeting,seminar_room
3/21/2019,12:45,14:00,class,ZACH1
3/21/2019,14:20,15:35,class,STAT
3/21/2019,15:45,16:25,research,office_grad
3/21/2019,16:30,17:20,meeting,office_grad
3/22/2019,9:07,9:15,driving,null
3/22/2019,9:15,9:33,walking,null
3/22/2019,12:34,12:45,eating,ETB3
3/22/2019,13:00,16:50,research,office_grad
3/22/2019,17:50,18:05,research,office_grad
3/22/2019,18:10,18:19,walking,null
3/22/2019,18:20,18:32,driving,null
3/22/2019,18:35,18:50,shopping,store
3/22/2019,18:50,19:00,driving,null
3/22/2019,21:00,23:20,relaxing,home
3/22/2019,23:25,23:59,cleaning,home
3/23/2019,0:00,0:14,cleaning,home
3/23/2019,17:10,18:40,relaxing,home
3/23/2019,18:41,18:46,self-hygiene,home
3/23/2019,18:48,18:50,self-hygiene,home
3/24/2019,10:41,10:46,self-hygiene,home
3/24/2019,16:53,17:00,cooking,home
3/24/2019,17:00,17:05,eating ,home
3/24/2019,17:34,18:35,relaxing,home
3/24/2019,18:38,18:48,cooking,home
3/25/2019,10:35,12:10,research,office_grad
3/25/2019,12:33,12:45,eating,ETB3
3/25/2019,12:50,14:46,research,office_grad
3/25/2019,14:56,15:03,research,office_grad
3/25/2019,17:52,23:59,research,office_grad
3/26/2019,9:48,12:11,research,office_grad
3/26/2019,12:45,14:00,class,ZACH1
3/26/2019,14:20,15:35,class,STAT
3/26/2019,16:17,18:32,research,office_grad
3/26/2019,18:45,18:53,walking,null
3/26/2019,18:54,18:59,driving,null
3/26/2019,20:02,20:17,eating,home
3/26/2019,20:20,21:59,relaxing,home
3/27/2019,8:32,8:45,driving,null
3/27/2019,8:46,8:56,walking,null
3/27/2019,9:55,11:24,research,office_grad
3/27/2019,12:53,13:05,eating,ETB3
3/27/2019,13:10,13:20,research,office_grad
3/27/2019,13:50,14:00,walking,null
3/27/2019,15:50,20:00,research,office_grad
3/27/2019,20:07,20:17,walking,null
3/27/2019,20:19,8:256:00 PM,driving,null
3/27/2019,20:40,21:15,cooking,home
3/27/2019,21:20,21:38,eating,home
3/28/2019,8:34,8:37,self-hygiene,home
3/28/2019,10:40,11:25,research,office_grad
3/28/2019,11:35,12:20,meeting,seminar_room
3/28/2019,12:25,12:37,eating,ETB3
3/28/2019,12:38,12:40,walking,null
3/28/2019,12:45,14:00,class,ZACH1
3/28/2019,14:20,15:35,class,STAT
3/28/2019,15:50,16:15,research,office_grad
3/28/2019,17:10,20:15,schoolwork,ETB4
3/28/2019,20:28,20:38,walking,null
3/28/2019,20:39,20:50,driving,null
3/28/2019,22:18,22:26,driving,null
3/28/2019,22:30,23:02,shopping,store
3/28/2019,23:05,23:09,driving,null
3/29/2019,8:43,8:49,driving,null
3/29/2019,8:50,8:59,walking,null
3/29/2019,9:15,10:10,research,office_grad
3/29/2019,15:35,17:45,research,office_grad
3/29/2019,17:50,17:57,walking,null
3/29/2019,18:00,18:10,driving,null
4/1/2019,8:42,8:50,driving,null
4/1/2019,8:52,9:02,walking,null
4/1/2019,9:20,11:19,research,office_grad
4/1/2019,12:33,12:46,eating,ETB3
4/1/2019,16:08,17:12,research,office_grad
4/1/2019,17:30,17:35,eating,office_grad
4/1/2019,17:40,19:22,research,office_grad
4/1/2019,19:43,19:51,shopping,store
4/2/2019,8:39,8:46,driving,null
4/2/2019,8:47,8:59,walking,null
4/2/2019,9:05,12:15,research,office_grad
4/2/2019,12:22,12:42,eating,ETB3
4/2/2019,12:45,14:00,class,ZACH1
4/2/2019,14:20,15:35,class,STAT
4/2/2019,21:37,21:56,walking,null
4/2/2019,21:59,22:15,driving,null
4/3/2019,8:42,8:49,driving,null
4/3/2019,8:51,9:00,walking,null
4/3/2019,9:25,12:20,research,office_grad
4/3/2019,12:35,12:50,eating,ETB3
4/3/2019,12:58,14:22,research,office_grad
4/3/2019,16:58,17:51,research,office_grad
4/4/2019,8:39,8:47,driving,null
4/4/2019,8:48,9:00,walking,null
4/4/2019,10:45,11:00,meeting,office_grad
4/4/2019,11:13,11:28,eating,ETB3
4/4/2019,11:30,12:25,meeting,seminar_room
4/4/2019,12:45,14:00,class,ZACH1
4/4/2019,14:26,13:30,class,STAT
4/4/2019,16:10,17:15,research,office_grad
4/4/2019,17:45,18:15,research,office_grad
4/4/2019,18:27,18:58,meeting,ETB1
4/4/2019,19:22,19:57,research,office_grad
4/4/2019,20:05,20:15,walking,null
4/4/2019,20:17,20:30,driving,null
4/5/2019,8:48,8:56,driving,null
4/5/2019,8:57,9:09,walking,null
