date,start_time,end_time,activity,location
3/17/2019,15:30,15:50,walking,null
3/17/2019,15:55,18:30,research,lab
3/17/2019,18:48,19:00,walking,null
3/18/2019,9:35,9:40,walking,null
3/18/2019,9:46,10:15,phone call,ETB2
3/18/2019,10:25,12:20,schoolwork,office_grad
3/18/2019,12:40,13:40,class,ZACH1
3/18/2019,14:38,14:50,eating,office_grad
3/18/2019,15:15,16:00,research,office_grad
3/18/2019,16:30,16:50,research,lab
3/18/2019,17:00,18:00,research,lab
3/19/2019,9:30,9:40,walking,null
3/19/2019,9:50,10:25,research,office_grad
3/19/2019,10:35,14:10,research,lab
3/19/2019,14:20,15:35,class,ZACH2
3/19/2019,15:38,15:45,walking,null
3/19/2019,15:50,16:10,research,office_grad
3/19/2019,16:25,19:00,research,lab
3/19/2019,20:35,20:45,walking ,null
3/20/2019,11:00,12:15,research,office_grad
3/20/2019,12:40,13:30,class,ZACH1
3/20/2019,17:30,17:40,walking,null
3/20/2019,17:50,19:10,research,lab
3/20/2019,19:15,20:15,class,ZACH1
3/20/2019,20:50,23:00,research,lab
3/21/2019,11:00,11:10,walking,null
3/21/2019,11:15,11:25,research,office_grad
3/21/2019,11:30,12:30,meeting,seminar_room
3/21/2019,12:35,14:20,research,office_grad
3/21/2019,14:20,15:35,class,ZACH2
3/21/2019,15:45,17:20,class,ETB1
3/21/2019,18:20,19:00,eating,home
3/21/2019,19:40,20:45,research,lab
3/21/2019,21:04,21:15,walking,null
3/25/2019,9:57,12:20,research,office_grad
3/25/2019,12:40,13:35,class,ZACH1
3/25/2019,13:45,18:00,research,office_grad
3/25/2019,18:05,20:10,social event,social event
3/25/2019,20:21,20:24,walking,null
3/25/2019,20:30,23:59,research,lab
3/26/2019,7:30,10:30,getting_ready,home
3/26/2019,10:32,10:40,walking,null
3/26/2019,10:50,11:00,research,office_grad
3/26/2019,11:10,13:50,research,lab
3/26/2019,14:00,15:00,eating,social event
3/26/2019,15:25,18:30,research,lab
3/26/2019,18:45,19:45,research,office_grad
3/27/2019,8:58,9:10,walking,null
3/27/2019,9:15,12:25,research,lab
3/27/2019,12:40,13:30,class,ZACH1
3/27/2019,13:45,15:00,research,lab
3/27/2019,15:15,16:00,meeting,lab
3/27/2019,19:30,20:15,class,ZACH1
3/27/2019,20:20,20:30,walking,null
3/27/2019,20:45,21:05,eating,home
3/27/2019,22:11,22:30,cooking,home
3/28/2019,8:46,8:55,exercising,home
3/28/2019,8:56,9:05,getting_ready,home
3/28/2019,9:06,9:35,cooking,home
3/28/2019,9:40,9:48,walking,null
3/28/2019,10:00,11:20,research,office_grad
3/28/2019,11:30,12:45,meeting,seminar_room
3/28/2019,12:50,14:00,research,office_grad
3/28/2019,14:20,15:20,class,ZACH1
3/28/2019,15:55,17:10,class,ETB1
3/28/2019,17:20,19:40,research,lab
3/29/2019,10:02,10:18,walking,null
3/29/2019,10:35,12:30,research,lab
3/29/2019,12:45,13:30,class,ZACH1
3/29/2019,13:50,15:50,research,lab
3/29/2019,16:10,18:00,research,office_grad
3/29/2019,19:25,19:35,walking,null
3/29/2019,19:45,20:10,getting_ready,home
3/29/2019,20:18,20:40,exercising,home
3/29/2019,20:48,23:59,relaxing,home
3/30/2019,17:20,17:35,exercising,home
3/31/2019,8:40,9:00,cooking,home
3/31/2019,9:10,10:10,shopping,null
3/31/2019,10:30,10:55,cleaning,home
3/31/2019,14:54,15:05,walking,null
3/31/2019,15:15,16:00,research,lab
3/31/2019,16:10,18:00,research,office_grad
3/31/2019,18:05,18:14,walking,null
4/1/2019,9:45,9:55,walking,null
4/1/2019,10:00,12:30,research,office_grad
4/1/2019,12:50,13:30,class,ZACH1
4/1/2019,13:45,18:30,research,office_grad
4/1/2019,18:56,19:10,walking,null
4/2/2019,10:22,10:30,walking,null
4/2/2019,14:20,15:35,class,ZACH2
4/3/2019,10:17,10:30,walking,null
4/3/2019,12:50,13:30,class,ZACH1
4/3/2019,16:15,16:25,walking,null
4/3/2019,19:20,20:15,class,ZACH1
4/3/2019,20:35,20:43,getting_ready,home
4/3/2019,20:45,23:59,exercising,home
4/4/2019,9:45,10:00,walking,null
4/4/2019,10:10,11:30,research,office_grad
4/4/2019,11:35,12:30,meeting,seminar_room
4/4/2019,14:20,15:35,class,ZACH2
4/4/2019,15:55,17:00,class,ETB1
4/4/2019,20:04,20:15,walking,null
4/5/2019,10:00,10:10,walking,null
4/5/2019,12:45,13:30,class,ZACH1
4/5/2019,14:30,13:00,meeting,office_grad
4/5/2019,18:33,18:45,walking,null
4/8/2019,10:35,10:45,walking,null
4/8/2019,10:50,12:30,research,office_grad
4/8/2019,12:40,13:30,class,ETB1
4/8/2019,19:05,19:15,walking,null
4/9/2019,10:19,10:30,walking,null
4/9/2019,11:45,13:25,research,office_grad
4/9/2019,13:35,14:00,meeting,lab
4/9/2019,14:20,15:35,class,ZACH2
4/10/2019,10:50,11:00,walking,null
4/10/2019,12:40,13:30,class,ZACH1
4/10/2019,19:15,21:15,class,ZACH1
4/11/2019,10:48,11:00,walking,null
4/11/2019,11:05,11:28,research,office_grad
4/11/2019,11:32,12:30,meeting,seminar_room
,,,,
