date,start_time,end_time,activity,location
8-27,8:45,9:00,car,travel_car
8-27,9:15,10:30,exercising,gym
8-27,10:55,11:05,car,travel_car
8-27,11:10,12:30,meeting,lab
8-27,12:35,13:10,class,classroom_etb
8-27,13:40,14:05,eating,lab
8-27,14:05,17:45,research,lab
8-27,17:45,17:50,walking,travel_walk
8-27,17:50,18:05,car,travel_car
8-27,18:25,20:00,schoolwork,home
8-27,20:00,23:59,relaxing,home
8-28,8:30,8:40,driving,travel_car
8-28,9:10,9:50,research,lab
8-28,9:50,9:55,biking,travel_bike
8-28,10:30,10:35,eating,null
8-28,11:10,11:20,biking,travel_bike
8-28,12:35,13:55,class,classroom_wc
8-28,13:55,14:10,biking,travel_bike
8-28,14:10,15:35,class,classroom_etb
8-28,15:40,15:55,eating,lab
8-28,15:55,16:30,research,lab
8-28,16:30,17:15,meeting,office_grad
8-29,11:10,11:20,driving,travel_car
8-29,11:30,11:55,research,lab
8-29,12:00,13:35,meeting,seminar_room
8-29,13:35,15:35,meeting,lab
8-29,15:35,16:05,eating,lab
8-29,16:05,17:20,research,lab
8-29,17:20,17:35,driving,travel_car
8-29,17:45,19:35,schoolwork,home
8-29,20:20,22:00,relaxing,home
8-30,7:55,8:05,driving,travel_car
8-30,8:05,8:15,walking,travel_walk
8-30,8:15,10:15,class,classroom_zach-1
8-30,10:15,10:30,eating,null
8-30,10:30,10:50,walking,travel_walk
8-30,10:50,11:30,schoolwork,lab
8-30,11:30,11:50,research,lab
8-30,12:05,12:10,biking,travel_bike
8-30,12:10,12:25,eating,null
8-30,12:25,12:30,biking,travel_bike
8-30,12:30,13:30,class,classroom_wc
8-30,13:30,13:35,biking,travel_bike
8-30,14:15,15:40,class,classroom_etb
8-30,15:40,16:05,eating,lab
8-30,16:05,17:00,research,lab
8-30,17:00,17:15,driving,travel_car
8-30,17:15,19:25,schoolwork,home
8-31,8:35,8:50,driving,travel_car
8-31,8:50,10:20,exercising,gym
8-31,11:15,14:35,research,lab
8-31,14:35,14:40,biking,travel_bike
8-31,14:40,15:00,eating,null
8-31,15:05,17:45,research,lab
8-31,17:45,17:50,walking,travel_walking
8-31,17:50,18:10,driving,travel_car
8-31,18:30,23:59,schoolwork,home
9-3,9:15,9:30,driving,travel_car
9-3,9:35,11:05,exercising,gym
9-3,11:30,11:40,driving,travel_car
9-3,11:40,11:45,walking,travel_walking
9-3,11:45,14:30,research,lab
9-3,14:30,15:15,eating,lab
9-3,15:15,16:15,research,lab
9-3,16:15,16:20,walking,travel_walking
9-3,16:20,16:30,driving,travel_car
9-3,18:10,19:15,schoolwork,home
9-3,19:15,19:40,relaxing,home
9-3,19:55,20:10,driving,travel_car
9-3,20:10,23:25,social_event,social
9-3,23:25,23:35,driving,travel_car
9-4,0:00,14:00,class,classroom_wc
9-4,14:00,14:10,biking,travel_bike
9-4,14:10,14:15,walking,travel_walking
9-4,14:15,15:35,class,classroom_etb
9-4,15:35,16:00,eating,lab
9-4,16:00,16:15,research,lab
9-4,16:15,16:20,walking,travel_walking
9-4,16:20,16:30,driving,travel_car
9-5,8:45,9:00,driving,travel_car
9-5,9:10,10:25,exercising,gym
9-5,11:10,11:15,walking,travel_walking
9-5,11:15,11:55,research,lab
9-5,11:55,12:45,meeting,seminar_room
9-5,12:45,14:40,research,lab
9-5,14:40,14:50,walking,travel_walking
9-5,14:50,15:05,eating,null
9-5,15:05,15:15,walking,travel_walking
9-5,15:15,18:05,research,lab
9-5,18:05,18:10,walking,travel_walking
9-5,18:10,18:25,driving,travel_car
9-5,19:00,19:45,schoolwork,home
9-5,19:45,23:59,relaxing,home
9-6,7:40,7:55,driving,travel_car
9-6,7:55,8:00,walking,travel_walking
9-6,8:00,10:00,class,classroom_zach-1
9-6,10:00,10:05,walking,travel_walking
9-6,10:05,10:30,eating,lab
9-6,10:30,11:40,schoolwork,null
9-6,12:00,12:10,biking,travel_bike
9-6,12:10,12:25,eating,null
9-6,12:30,12:35,biking,travel_bike
9-6,12:35,13:55,class,classroom_wc
9-6,13:55,14:05,biking,travel_bike
9-6,14:40,15:35,class,classroom_etb
9-7,8:35,8:50,driving,travel_car
9-7,10:15,11:15,exercising,gym
9-7,12:00,16:35,research,lab
9-7,16:35,16:40,walking,travel_walking
9-7,16:40,16:55,driving,travel_car
9-10,8:40,9:00,driving,travel_car
9-10,9:00,10:30,exercising,gym
9-10,11:10,11:20,driving,travel_car
9-10,11:20,11:25,walking,travel_walking
9-10,11:25,12:40,research,lab
9-10,12:40,13:20,class,classroom_etb
9-10,13:45,14:15,eating,lab
9-10,14:15,18:45,research,lab
9-10,18:45,19:00,driving,travel_car
9-10,19:00,19:10,eating,home
9-10,19:10,19:25,cooking,home
9-10,19:25,20:35,schoolwork,home
9-10,20:35,21:50,cooking,home
9-10,21:50,22:10,eating,home
9-10,22:10,22:25,cooking,home
9-10,22:25,23:59,relaxing,home
9-11,8:40,9:00,driving,travel_car
9-11,9:00,10:25,exercising,gym
9-11,11:00,11:15,driving,travel_car
9-11,11:15,12:00,research,lab
9-11,12:00,12:15,eating,lab
9-11,12:15,12:20,walking,travel_walking
9-11,12:20,12:40,bus,travel_bus
9-11,12:40,12:45,walking,travel_walking
9-11,12:45,13:45,class,classroom_wc
9-11,13:50,13:55,bus,travel_bus
9-11,13:55,14:10,walking,travel_walking
9-11,14:20,15:35,class,classroom_etb
9-11,15:35,15:50,eating,lab
9-11,15:50,18:15,research,lab
9-11,18:15,18:30,driving,travel_car
9-11,18:30,18:35,eating,home
9-12,9:15,9:35,driving,travel_car
9-12,9:35,11:15,exercising,gym
9-12,11:20,11:35,driving,travel_car
9-12,12:00,13:35,meeting,seminar_room
9-12,13:35,14:00,eating,lab
9-12,14:00,14:30,research,lab
9-12,14:30,16:15,meeting,office_grad
9-12,16:15,17:25,research,lab
9-12,17:25,18:45,meeting,office_grad
9-12,18:55,19:10,driving,travel_car
9-13,0:00,7:20,cooking,home
9-13,7:20,7:30,eating,home
9-13,8:00,8:15,driving,travel_car
9-13,8:20,9:30,class,classroom_zach-1
9-13,9:50,11:55,research,lab
9-13,11:55,12:05,biking,travel_bike
9-13,12:10,12:25,eating,null
9-13,12:25,12:35,biking,travel_bike
9-13,12:35,14:00,class,classroom_wc
9-13,14:00,14:10,biking,travel_bike
9-13,14:10,15:35,class,classroom_etb
9-13,15:35,15:40,walking,travel_walking
9-13,15:40,17:00,class,classroom_zach-1
9-13,18:15,20:30,schoolwork,home
9-13,20:30,23:59,relaxing,home
9-14,8:15,8:30,driving,travel_car
9-14,8:30,10:15,exercising,gym
9-14,10:15,10:30,driving,travel_car
9-14,10:30,15:05,research,lab
9-14,15:05,15:25,eating,lab
9-14,15:25,17:45,research,lab
9-14,17:45,17:55,driving,travel_car
9-15,13:30,13:45,driving,travel_car
9-15,13:45,14:05,walking,travel_walking
9-15,14:05,18:00,social_event,social
9-16,12:15,12:30,driving,travel_car
9-16,12:30,13:45,exercising,gym
9-16,14:00,14:15,drivign,travel_car
9-17,8:35,8:50,driving,travel_car
9-17,8:50,8:55,walking,travel_walking
9-17,8:55,10:20,exercising,gym
9-17,10:45,10:55,driving,travel_car
9-17,10:55,12:00,walking,travel_walking
9-17,12:00,12:55,meeting,seminar_room
9-17,12:55,14:15,research,lab
9-17,14:15,14:35,eating,lab
9-17,14:35,18:00,research,lab
9-17,18:00,18:45,meeting,lab
9-17,19:45,21:00,schoolwork,home
9-17,21:00,23:59,relaxing,home
9-18,8:40,8:55,driving,travel_car
9-18,8:55,10:40,exercising,gym
9-18,11:05,11:15,driving,travel_car
9-18,11:15,11:20,walking,travel_walking
9-18,11:20,11:35,eating,lab
9-18,12:10,12:30,eating,null
9-18,12:30,12:35,biking,travel_bike
9-18,12:35,13:55,class,classroom_wc
9-18,13:55,14:10,biking,travel_bike
9-18,14:10,15:35,class,classroom_etb
9-18,16:30,18:45,research,lab
9-18,18:45,19:00,driving,travel_car
9-18,19:30,21:45,schoolwork,home
9-18,21:45,23:59,relaxing,home
9-26,8:35,8:55,driving,travel_car
9-26,8:55,9:00,walking,travel_walking
