date,start_time,end_time,activity,location
8/1/2018,9:44,10:08,walking,null
8/1/2018,12:21,12:35,biking,null
8/1/2018,17:05,17:18,driving,null
8/27/2018,8:45,9:00,driving,null
8/27/2018,9:15,10:30,exercising,gym
8/27/2018,10:55,11:05,driving,null
8/27/2018,11:10,12:30,meeting,lab
8/27/2018,12:35,13:10,class,classroom_etb
8/27/2018,14:05,17:45,research,lab
8/27/2018,17:45,17:50,walking,null
8/27/2018,17:50,18:05,driving,null
8/27/2018,18:25,20:00,schoolwork,home
8/28/2018,8:30,8:40,driving,null
8/28/2018,9:10,9:50,research,lab
8/28/2018,9:50,9:55,biking,null
8/28/2018,11:10,11:20,biking,null
8/28/2018,12:35,13:55,class,classroom_wc
8/28/2018,13:55,14:10,biking,null
8/28/2018,14:10,15:35,class,classroom_etb
8/28/2018,15:55,16:30,research,lab
8/28/2018,16:30,17:15,meeting,office_grad
8/29/2018,11:10,11:20,driving,null
8/29/2018,11:30,11:55,research,lab
8/29/2018,12:00,13:35,meeting,seminar_room
8/29/2018,13:35,15:35,meeting,lab
8/29/2018,16:05,17:20,research,lab
8/29/2018,17:20,17:35,driving,null
8/29/2018,17:45,19:35,schoolwork,home
8/30/2018,7:55,8:05,driving,null
8/30/2018,8:35,10:15,class,classroom_zach-1
8/30/2018,11:30,11:50,research,lab
8/30/2018,12:03,12:10,biking,null
8/30/2018,12:25,12:30,biking,null
8/30/2018,12:30,13:30,class,classroom_wc
8/30/2018,13:30,13:35,biking,null
8/30/2018,14:15,15:40,class,classroom_etb
8/30/2018,16:05,17:00,research,lab
8/30/2018,17:30,19:25,schoolwork,home
8/31/2018,8:37,8:49,driving,null
8/31/2018,8:50,10:20,exercising,gym
8/31/2018,11:15,14:35,research,lab
8/31/2018,14:36,14:40,biking,null
8/31/2018,15:05,17:45,research,lab
8/31/2018,17:45,17:50,walking,null
8/31/2018,17:52,18:10,driving,null
8/31/2018,18:30,23:59,schoolwork,home
9/3/2018,9:16,9:30,driving,null
9/3/2018,9:35,11:05,exercising,gym
9/3/2018,11:30,11:40,driving,null
9/3/2018,11:40,11:45,walking,null
9/3/2018,11:45,14:30,research,lab
9/3/2018,15:15,16:15,research,lab
9/3/2018,16:16,16:19,walking,null
9/3/2018,16:21,16:30,driving,null
9/3/2018,18:10,19:15,schoolwork,home
9/3/2018,19:55,20:10,driving,null
9/3/2018,23:26,23:35,driving,null
9/4/2018,12:45,14:00,class,classroom_wc
9/4/2018,14:02,14:10,biking,null
9/4/2018,14:15,15:35,class,classroom_etb
9/4/2018,16:00,16:15,research,lab
9/4/2018,16:17,16:20,walking,null
9/4/2018,16:21,16:30,driving,null
9/5/2018,8:46,9:00,driving,null
9/5/2018,9:10,10:25,exercising,gym
9/5/2018,11:10,11:15,walking,null
9/5/2018,11:15,11:55,research,lab
9/5/2018,11:55,12:45,meeting,seminar_room
9/5/2018,12:45,14:40,research,lab
9/5/2018,14:42,14:50,walking,null
9/5/2018,15:05,15:15,walking,null
9/5/2018,15:15,18:05,research,lab
9/5/2018,18:05,18:10,walking,null
9/5/2018,18:10,18:25,driving,null
9/5/2018,19:00,19:45,schoolwork,home
9/6/2018,7:42,7:55,driving,null
9/6/2018,7:55,8:01,walking,null
9/6/2018,8:10,10:00,class,classroom_zach-1
9/6/2018,10:00,10:05,walking,null
9/6/2018,12:01,12:10,biking,null
9/6/2018,12:30,12:35,biking,null
9/6/2018,12:35,13:55,class,classroom_wc
9/6/2018,13:57,14:05,biking,null
9/6/2018,14:40,15:35,class,classroom_etb
9/7/2018,8:35,8:50,driving,null
9/7/2018,10:15,11:15,exercising,gym
9/7/2018,12:00,16:35,research,lab
9/7/2018,16:37,16:40,walking,null
9/7/2018,16:42,16:55,driving,null
9/10/2018,8:44,8:58,driving,null
9/10/2018,9:00,10:30,exercising,gym
9/10/2018,11:12,11:20,driving,null
9/10/2018,11:21,11:24,walking,null
9/10/2018,11:26,12:45,research,lab
9/10/2018,12:51,13:10,class,classroom_etb
9/10/2018,14:15,18:47,research,lab
9/10/2018,18:50,19:00,driving,null
9/10/2018,19:10,19:25,cooking,home
9/10/2018,19:30,20:35,schoolwork,home
9/10/2018,20:35,21:50,cooking,home
9/10/2018,22:10,22:25,cooking,home
9/11/2018,8:45,8:58,driving,null
9/11/2018,9:00,10:25,exercising,gym
9/11/2018,11:02,11:11,driving,null
9/11/2018,11:15,12:00,research,lab
9/11/2018,12:45,13:45,class,classroom_wc
9/11/2018,13:57,14:10,walking,null
9/11/2018,14:20,15:35,class,classroom_etb
9/11/2018,15:50,18:15,research,lab
9/11/2018,18:18,18:30,driving,null
9/12/2018,9:18,9:31,driving,null
9/12/2018,9:35,11:15,exercising,gym
9/12/2018,11:22,11:33,driving,null
9/12/2018,12:00,13:35,meeting,seminar_room
9/12/2018,14:00,14:30,research,lab
9/12/2018,14:30,16:15,meeting,office_grad
9/12/2018,16:15,17:25,research,lab
9/12/2018,17:25,18:45,meeting,office_grad
9/12/2018,18:55,19:10,driving,null
9/13/2018,0:00,7:20,cooking,home
9/13/2018,8:00,8:15,driving,null
9/13/2018,8:20,9:30,class,classroom_zach-1
9/13/2018,9:50,11:55,research,lab
9/13/2018,11:58,12:05,biking,null
9/13/2018,12:25,12:35,biking,null
9/13/2018,12:35,14:00,class,classroom_wc
9/13/2018,14:02,14:10,biking,null
9/13/2018,14:15,15:35,class,classroom_etb
9/13/2018,15:36,15:39,walking,null
9/13/2018,15:45,16:50,class,classroom_zach-1
9/13/2018,18:15,20:30,schoolwork,home
9/14/2018,8:16,8:28,driving,null
9/14/2018,8:30,10:15,exercising,gym
9/14/2018,10:16,10:26,driving,null
9/14/2018,10:30,15:05,research,lab
9/14/2018,15:25,17:45,research,lab
9/14/2018,17:48,17:55,driving,null
9/15/2018,13:30,13:45,driving,null
9/15/2018,13:45,14:05,walking,null
9/16/2018,12:15,12:30,driving,null
9/16/2018,12:30,13:45,exercising,gym
9/16/2018,14:00,14:15,driving,null
9/17/2018,8:36,8:48,driving,null
9/17/2018,8:55,10:20,exercising,gym
9/17/2018,10:45,10:55,driving,null
9/17/2018,10:55,11:00,walking,null
9/17/2018,12:00,12:54,meeting,seminar_room
9/17/2018,13:00,14:15,research,lab
9/17/2018,14:35,17:55,research,lab
9/17/2018,18:00,18:45,meeting,lab
9/17/2018,19:45,21:00,schoolwork,home
9/18/2018,8:43,8:55,driving,null
9/18/2018,8:55,10:40,exercising,gym
9/18/2018,11:05,11:15,driving,null
9/18/2018,11:15,11:18,walking,null
9/18/2018,12:30,12:35,biking,null
9/18/2018,12:35,13:55,class,classroom_wc
9/18/2018,13:57,14:07,biking,null
9/18/2018,14:15,15:35,class,classroom_etb
9/18/2018,16:30,18:45,research,lab
9/18/2018,18:48,19:00,driving,null
9/18/2018,19:30,21:45,schoolwork,home
9/26/2018,8:38,8:54,driving,null
9/26/2018,9:00,10:40,exercising,gym
9/26/2018,11:15,11:25,driving,null
9/26/2018,11:26,11:28,walking,null
9/26/2018,11:40,11:55,research,lab
9/26/2018,12:00,12:50,meeting,seminar_room
9/26/2018,12:50,15:00,research,lab
9/26/2018,15:30,17:15,research,lab
9/26/2018,17:17,17:20,walking,null
9/26/2018,17:21,17:30,driving,null
10/3/2018,8:52,9:05,driving,null
10/3/2018,10:10,11:55,research,lab
10/3/2018,11:55,13:10,meeting,seminar_room
10/3/2018,13:20,13:55,research,lab
10/3/2018,14:20,19:00,research,lab
10/3/2018,19:04,19:15,driving,null
10/4/2018,8:35,8:45,driving,null
10/4/2018,8:46,8:50,walking,null
10/4/2018,8:52,10:20,class,classroom_zach-1
10/4/2018,11:00,12:00,research,lab
10/4/2018,12:02,12:10,biking,null
10/4/2018,12:27,12:35,biking,null
10/4/2018,12:35,14:00,class,classroom_wc
10/4/2018,14:02,14:10,biking,null
10/4/2018,14:20,15:35,class,classroom_etb
10/4/2018,16:00,17:00,class,classroom_zach-2
10/4/2018,17:01,17:05,walking,null
10/4/2018,17:05,17:20,driving,null
10/8/2018,8:38,8:50,driving,null
10/8/2018,8:55,10:20,exercising,gym
10/8/2018,10:48,10:55,driving,null
10/8/2018,11:10,11:30,research,lab
10/8/2018,12:30,12:50,research,lab
10/8/2018,12:50,13:20,class,classroom_etb
10/8/2018,15:00,18:00,schoolwork,home
10/9/2018,9:04,9:15,driving,null
10/9/2018,9:30,10:45,exercising,gym
10/9/2018,11:25,12:00,research,lab
10/9/2018,12:02,12:10,biking,null
10/9/2018,12:31,12:35,biking,null
10/9/2018,12:35,13:50,class,classroom_wc
10/9/2018,13:51,14:00,biking,null
10/9/2018,14:20,15:35,class,classroom_etb
10/9/2018,15:55,17:45,research,lab
10/10/2018,8:45,10:20,exercising,gym
10/10/2018,11:00,14:30,research,lab
10/10/2018,15:30,23:59,schoolwork,home
10/16/2018,9:30,11:15,exercising,gym
10/16/2018,11:35,11:43,driving,null
10/16/2018,14:20,15:40,class,classroom_etb
10/16/2018,16:15,19:00,schoolwork,home
10/16/2018,21:25,21:35,cooking,home
10/19/2018,8:34,8:45,driving,null
10/19/2018,8:55,10:30,exercising,gym
10/19/2018,11:05,11:13,driving,null
10/19/2018,11:20,14:00,research,lab
10/19/2018,14:30,16:30,research,lab
10/22/2018,9:45,12:00,research,lab
10/22/2018,12:30,12:50,research,lab
10/22/2018,12:55,13:10,class,classroom_etb
10/22/2018,13:30,13:40,driving,null
10/22/2018,15:00,19:20,schoolwork,home
10/22/2018,19:40,20:15,schoolwork,home
10/23/2018,8:40,8:50,driving,null
10/23/2018,9:00,10:45,exercising,gym
10/23/2018,11:12,11:20,driving,null
10/23/2018,11:20,11:58,research,lab
10/23/2018,12:01,12:06,biking,null
10/23/2018,12:25,12:30,biking,null
10/23/2018,12:35,13:55,class,classroom_wc
10/23/2018,13:58,14:10,biking,null
10/23/2018,17:25,19:20,research,lab
10/23/2018,19:22,19:24,walking,null
10/23/2018,19:27,19:40,driving,null
10/24/2018,8:25,8:35,driving,null
10/24/2018,8:40,10:30,exercising,gym
10/24/2018,10:50,10:58,driving,null
10/24/2018,11:10,11:55,research,lab
10/24/2018,12:05,13:15,meeting,seminar_room
10/24/2018,13:25,14:00,research,lab
10/24/2018,14:03,14:30,meeting,office_jafari
10/24/2018,14:40,15:25,research,lab
10/25/2018,7:15,7:35,cooking,home
10/25/2018,8:10,8:20,driving,null
10/25/2018,8:30,10:20,class,classroom_zach-1
10/25/2018,10:45,12:00,research,lab
10/25/2018,12:03,12:10,biking,null
10/25/2018,12:25,12:30,biking,null
10/25/2018,12:35,13:45,class,classroom_wc
10/25/2018,13:48,13:55,biking,null
10/25/2018,14:20,15:35,class,classroom_etb
10/25/2018,15:37,15:40,walking,null
10/25/2018,15:55,17:15,class,classroom_zach-2
10/25/2018,17:16,17:20,walking,null
10/25/2018,17:24,17:40,driving,null
10/25/2018,18:15,23:59,schoolwork,home
10/26/2018,7:20,7:40,cooking,home
10/26/2018,8:13,8:25,driving,null
10/26/2018,8:35,10:15,exercising,gym
10/26/2018,12:30,17:30,research,lab
10/26/2018,17:37,17:40,walking,null
10/26/2018,18:00,20:00,schoolwork,home
10/26/2018,20:05,20:20,cooking,home
10/29/2018,8:33,8:45,driving,null
10/29/2018,8:55,10:30,exercising,gym
10/29/2018,11:05,11:15,driving,null
10/29/2018,11:15,13:30,research,lab
10/29/2018,13:45,14:30,research,lab
10/29/2018,15:50,18:00,schoolwork,home
10/29/2018,18:50,19:10,driving,null
10/29/2018,22:23,22:33,driving,null
10/31/2018,9:29,9:38,driving,null
10/31/2018,12:35,12:45,biking,null
10/31/2018,12:46,13:06,walking,null
